Stoned Builds Change Log					
"*This log was created on 2016-03-03, so entries listed before then might be inaccurate or have missing info"					
"*(2016-07-29) And it doesn't always get updated on a regular basis, so any entry could have inaccurate or missing info"					
					
Build	Date	State	Issues Fixed	Major Changes	
0_250					
0_251					
0_252					
0_253					
0_254					
0_255					
0_256	2018-06-04	Playable		"Added lots of new art to the game, updated Merky's sprite"	
0_257					
0_258					
0_259					
0_260	2018-06-30	Unplayable		Added greybox	
0_261					
0_262					
0_263					
0_264					
0_265					
0_266					
0_267					
0_268					
0_269					
0_270					
0_271					
0_272					
0_273					
0_274					
0_275	2018-08-14	Playable		DiamondShell AI updates mostly stable	
0_276					
0_277					
0_278					
0_279					
0_280					
0_281					
0_282					
0_283					
0_284					
0_285					
0_286					
0_287					
0_288					
0_289					
0_290					
0_291					
0_292					
0_293					
0_294					
0_295					
0_296					
0_297					
0_298					
0_299					
0_300					
0_301	2018-12-04	Playable		Szymon added a bunch of decorations for the new art style	
0_302					
0_303					
0_304					
0_305					
0_306					
0_307					
0_308					
0_309					
0_310					
0_311					
0_312					
0_313	2018-12-19	Playable	"451, 453"	Added Splash Screen	
0_314	2018-12-20	Playable	429	Added Speedrun Timer	
0_315					
0_316					
0_317					
0_318					
0_319					
0_320					
0_321					
0_322					
0_323	2019-01-03	Playable		Added NPC Quote Box	
0_324					
0_325					
0_326					
0_327					
0_328					
0_329					
0_330					
0_331					
0_332					
0_333					
0_334					
0_335					
0_336					
0_337					
0_338					
0_339					
0_340					
0_341					
0_342					
0_343					
0_344					
0_345					
0_346					
0_347					
0_348					
0_349					
0_350					
0_351					
0_352					
0_353					
0_354					
0_355					
0_356					
0_357					
0_358					
0_359	2019-08-29	Funny		"Added world sketch, and modified (shoe-horned) existing levels to conform to it, added central gravity"	
0_360					
0_361					
0_362					
0_363					
0_364					
0_365					
0_366					
0_367					
0_368					
0_369					
0_370	2019-11-22	Playable		Updated teleport range indicator	
0_371					
0_372					
0_373					
0_374					
0_375					
0_376					
0_377					
0_378					
0_379					
0_380	2019-12-09	Unplayable		"Scenes load when Merky is near, and pause game when he enters a scene that is still loading"	
0_381					
0_382					
0_383					
0_384					
0_385					
0_386					
0_387					
0_388					
0_389					
0_390					
0_391					
0_392	2019-12-20	Playable		Added Rewind visual effect	
0_393	2019-12-21	Playable		Groundhog Day Mechanic	
0_394					
0_395					
0_396					
0_397	2019-12-25	Playable		Added Groundhog Day Rewind Warning	
0_398					
0_399					
0_400	2019-12-28	Playable		Added snails back in	
0_401					
0_402					
0_403	2019-12-31	Playable		Fixed bug where forest scene doesn't load when starting a new game	
0_404					
0_405					
0_406					
0_407					
0_408					
0_409					
0_410					
0_411	2020-03-31	Playable		Refined the Force Dash ability	
0_412					
0_413					
0_414					
0_415					
0_416					
0_417					
0_418					
0_419					
0_420	2020-04-10	Playable		Snails have spikes while rolling	
0_421					
0_422					
0_423					
0_424					
0_425	2020-04-16	Unplayable		Started GestureManager refactor	
0_426					
0_427					
0_428					
0_429					
0_430					
0_431					
0_432					
0_433	2020-11-08	Playable		Added Force Launch ability	
0_434					
0_435					
0_436					
0_437					
0_438	2020-11-17	Playable		"Added Flashlight ability, Readded Touch controls"	
0_439	2020-11-18	Playable		Added Crab and Cactus enemies	
0_440	2020-11-19	Playable		Added Cactus Round and Cactus Surface enemies	
0_441					
0_442	2020-11-23	Playable		"Add checkpoint pods, teleport cooldown"	
0_443					
0_444	2020-11-25	Playable		Add ability upgrade levels	
0_445					
0_446					
0_447	2020-11-28	Playable		Extract managers out of GameManager	
0_448					
0_449					
0_450					
0_451					
0_452					
0_453					
0_454					
0_455					
0_456					
0_457					
0_458					
0_459					
0_460					
0_461					
0_462					
0_463					
0_464					
0_465					
0_466					
0_467					
0_468					
0_469					
0_470					
0_471					
0_472					
0_473					
0_474					
0_475					
0_476					
0_477					
0_478					
0_479					
0_480					
0_481					
0_482					
0_483					
0_484					
0_485					
0_486					
0_487					
0_488					
0_489					
0_490					
0_491					
0_492					
0_493					
0_494					
0_495					
0_496					
0_497					
0_498					
0_499					
0_500					
0_501					
0_502					
0_503					
0_504					
0_505					
0_506					
0_507					
0_508					
0_509					
0_510					
0_511					
0_512					
0_513					
0_514					
0_515					
0_516					
0_517					
0_518					
0_519					
0_520					
0_521					
0_522					
0_523					
0_524					
0_525					
0_526					
0_527					
0_528					
0_529					
0_530					
0_531					
0_532					
0_533					
0_534					
0_535					
0_536					
0_537					
0_538	2021-11-09	Playable		Separate levels version	recorded 2024-07-07
0_539	2022-09-02	Unplayable		Fixed some roadblock errors	
0_540	2022-09-05	Funny		Reduced size of planet	
0_541					
0_542	2022-09-08	Playable		"Removed Time Rewind ability, Pre-Rough draft of Forest cave level"	
0_543	2022-09-10	Playable		"Added blocking rock, Drafted Forest cave level"	
0_544	2022-09-21	Playable		Drafted Forest cave level	
0_545					
0_546					
0_547					
0_548					
0_549					
0_550					
0_551	2024-07-07	Playable		First try for 2024 Version	
0_552	2024-07-08	Playable	#595	"Fixed sun performance issue, doodled in Jungle level"	
0_553	2024-07-09	Playable		flesh out giant tree in jungle	
0_554	2024-07-11	Playable		"fixed lots of bugs with sun and rewind, decorated first checkpoint"	
0_555					
0_556					
0_557					
0_558	2024-07-17	Playable	#542	add skins	
0_559	2024-07-18	Playable	"#596, #542"	skin: Shield Flux	
0_560	2024-07-19	Unplayable	#597		recorded (and built) 2024-07-20
0_561	2024-07-20	Playable	#597		recorded (and built) 2024-07-21
0_562	2024-07-21	Playable	"#598, #596, #599, #600"	"make panels give electric ability upgrade, add ice traps to tundra level"	
0_563	2024-07-28	Playable	#542		
0_564	2024-07-29	Unplayable	#601	make clouds grant air slice ability upgrades	
0_565	2024-08-06	Playable	"#601, #602"	"big clouds move too, added first dialogue with moonicorn"	
0_566	2024-08-09	Playable	#602	"Moonicorn voicelines, moss in well"	
0_567	2024-08-10	Playable	"#603, #602"	Added route for red npc to get to core	
0_568	2024-08-11	Playable	"#604, #605, #603"	Added route for other NPCs to get to core	
0_569	2024-08-14	Playable	"#606, #607"	"Moon is pilotable, add vases to explode"	
0_570	2024-09-09	Playable	"#608, #609"	"add cactus blossom, refactor Managers.gameData"	
0_571	2024-09-11	Playable	#610	add balancing rocks	
0_572	2024-09-12	Playable	#611	develop core shaft path	
0_573	2024-11-19	Playable	#542	"fix some menu bugs, skin: top hat"	
0_574	2024-12-01	Playable		jungle seed pods	
0_575	2025-01-01	Playable		"GravityZone honors Rigidbody2D gravityScale, changed crab grab code"	
0_576	2025-01-02	Playable		"Fix floating objects, jungle seed pods dangle with physics"	
0_577	2025-01-03	Playable		"Fix save bugs, Fix some object-specific time rewind bugs"	
0_578	2025-01-04	Playable		"Fix bugs, Fix prefab override issues with ability overrides, Change how the sun collides with player, Make skybox have a gradient"	
0_579	2025-01-05	Playable		"Shield improvements, Flashlight improvements, Fix bug: pilot pod stealing blue upgrades, Fix issues with blue clouds and orange spikeballs"	
0_580	2025-01-06	Playable		Added road signs	
0_581	2025-01-09	Playable		"Improved cactus blossoms, powered movers, Electric Beam ability"	
0_582	2025-01-10	Playable		"Fixed some framerate issues caused by too many PolygonCollider2Ds, Burst'd CloudMovers, Changed MechFactory entrance"	
0_583	2025-01-11	Playable		"SceneLoaders take up entire planet area, Yellow has dialogue now"	
0_584	2025-01-12	Unplayable		NPC interaction: Kaki	
0_585	2025-01-13	Playable		"Reduce level load range, Add menu option: NPC dialogue speed and wait time, Add purple eye in menu"	
0_586	2025-01-14	Playable		NPC base dialogue: Silt the Pebblecorn	
0_587	2025-01-15	Playable		NPC base dialogue: Transistor	
0_588	2025-01-16	Playable		"Adjust sticky pads, Fix bugs, Red vases now contain ability granter, but is not same prefab"	
0_589	2025-01-17	Playable	#612	"Reworked Electric Beam ability, add elevators, NPC base dialogue: Nimbus"	R18: added an issue that was fixed in this build
0_590	2025-01-18	Playable	#613		
0_591	2025-01-19	Playable	"#614, #542"	Skin: Diogenes (Getting Over It)	
0_592	2025-01-20	Playable	"#419, #615"	"Fix bugs, Make ObjectState saving more efficient, Past Merkys don’t show up all at once, Setting: Time Rewind Speed"	
0_593	2025-01-21	Playable	"#617, #618, #619"	"Town: enterable windmill, visitor's center"	
0_594	2025-01-22	Unplayable	"#620, #621, #622, #623, #624"	"Stabilize dialogue box sizes, Pilotable Pods now require power, Make GameState a struct"	
0_595	2025-01-23	Playable	"#620, #625, #626"		
0_596	2025-01-24	Playable	#627	Improve tutorial visuals	
0_597	2025-01-25	Playable	#628	Add layers to desert terrain	
0_598	2025-01-26	Playable	#629	Add minecarts to desert	
0_599	2025-01-27	Playable	"#628, #630, #542"	Hide Diogenes (Getting Over It) better	
0_600	2025-01-28	Playable		Expand Jungle area around Well entrance	
0_601	2025-01-29	Playable	"#631, #617, #629"	Rework minecart	
0_602	2025-01-30	Playable	"#375, #628"	Fix major camera drag issue when dragging near max drag range	
0_603	2025-01-31	Playable	"#620, #629"		
0_604	2025-02-06	Playable	#632		
0_605	2025-02-07	Playable	"#633, #634"	Make treetops rounder in jungle	
0_606	2025-02-08	Unplayable	"#635, #634"	Refactor: AutoInitialize tag	
0_607	2025-02-09	Playable	#634		
0_608	2025-02-10	Playable	#634		
0_609	2025-02-11	Unplayable	"#634, #637"		
0_610	2025-02-12	Playable	#634	Make reverse basic traversal impossible if you don't know the double teleport trick	
0_611	2025-02-13	Unplayable	"#634, #638"	"Add more ""door openers"" to mech factory"	
